course_code,title,instructor,meeting_times,prerequisites,department,description,source,text
AFRI1330,Africana Studies Junior Seminar,,,,Africana Studies,"This junior seminar course is designed to support students’ growth as academic writers and will prepare them to better complete their culminating senior thesis projects. While specifically geared towards Africana Studies concentrators, the class is open to any undergraduate student who has successfully completed AFRI 0090: An Introduction to Africana Studies and at least four semesters of coursework overall towards the Bachelor’s degree. Course materials will delve deeply into the history, spaces, peoples and cultures of the African Diaspora, exploring a selection of critical writings, performance pieces, fiction and non-fiction works by leading scholars and artists.",BULLETIN,"Africana Studies Junior Seminar This junior seminar course is designed to support students’ growth as academic writers and will prepare them to better complete their culminating senior thesis projects. While specifically geared towards Africana Studies concentrators, the class is open to any undergraduate student who has successfully completed AFRI 0090: An Introduction to Africana Studies and at least four semesters of coursework overall towards the Bachelor’s degree. Course materials will delve deeply into the history, spaces, peoples and cultures of the African Diaspora, exploring a selection of critical writings, performance pieces, fiction and non-fiction works by leading scholars and artists. Africana Studies"
AFRI1360,"Africana Studies: Knowledge, Texts and Methodology",B. Meeks,Th 4-6:30p,,Africana Studies,"This course will explore the issues of Africana Studies as a discipline by engaging in a series of critical readings of the central texts, which laid the protocols of the discipline. The course will also raise issues of knowledge production and methodologies. This course is a senior capstone seminar. Open to all senior Africana Studies concentrators; others by instructor permission only. Enrollment limited to 25.",CAB,"Africana Studies: Knowledge, Texts and Methodology This course will explore the issues of Africana Studies as a discipline by engaging in a series of critical readings of the central texts, which laid the protocols of the discipline. The course will also raise issues of knowledge production and methodologies. This course is a senior capstone seminar. Open to all senior Africana Studies concentrators; others by instructor permission only. Enrollment limited to 25. Africana Studies"
AFRI1441,"Caribbean and Latin American Migration: Race, Gender, Community",P. Lewis,W 3-5:30p,,Africana Studies,"This course explores key issues in migration, especially as they relate to Latin America and the Caribbean. Viewing migration through multidisciplinary lenses, it explores the historic and contemporary forces behind the movement of people across the region; global and regional Migration regimes and their limitations; the implications of gender, race, ethnicity and class on migrant experience; the social effects of migration, especially on families; migrant survival strategies; and migrants contributions to their adopted countries, among others. The course draws from literature, film alongside academic texts representing a wide range of disciplinary perspectives to illustrate the varied approaches to think about migration and the people at the center of this phenomenon.",CAB,"Caribbean and Latin American Migration: Race, Gender, Community This course explores key issues in migration, especially as they relate to Latin America and the Caribbean. Viewing migration through multidisciplinary lenses, it explores the historic and contemporary forces behind the movement of people across the region; global and regional Migration regimes and their limitations; the implications of gender, race, ethnicity and class on migrant experience; the social effects of migration, especially on families; migrant survival strategies; and migrants contributions to their adopted countries, among others. The course draws from literature, film alongside academic texts representing a wide range of disciplinary perspectives to illustrate the varied approaches to think about migration and the people at the center of this phenomenon. Africana Studies"
AFRI1651,The Other African Americans? Comparative Perspectives on Black Ethnic Diversity,D. Wallace,TTh 9-10:20a,,Africana Studies,"This course explores the immigration, integration and identification of Black Africans and Black Caribbeans in the United States from sociological, historical, and cross-cultural perspectives. The seminar critically examines questions such as: what are the meanings Black immigrants attach to being Black in the U.S.? When, how and why do Black Africans and Black Caribbeans stand in solidarity with African Americans, and vice versa? How and why does ‘culture’ matter for group success? How do ethnicity, social class, gender, citizenship and sexuality complicate and challenge notions of a unified Black group? At its core, the seminar examines intra-racial and inter-ethnic similarities and differences, conflicts and collaborations that animate the lived experiences of native and new Blacks in the U.S.",CAB,"The Other African Americans? Comparative Perspectives on Black Ethnic Diversity This course explores the immigration, integration and identification of Black Africans and Black Caribbeans in the United States from sociological, historical, and cross-cultural perspectives. The seminar critically examines questions such as: what are the meanings Black immigrants attach to being Black in the U.S.? When, how and why do Black Africans and Black Caribbeans stand in solidarity with African Americans, and vice versa? How and why does ‘culture’ matter for group success? How do ethnicity, social class, gender, citizenship and sexuality complicate and challenge notions of a unified Black group? At its core, the seminar examines intra-racial and inter-ethnic similarities and differences, conflicts and collaborations that animate the lived experiences of native and new Blacks in the U.S. Africana Studies"
AFRI1970,Independent Reading and Research,L. Biggs,TBA,,Africana Studies,Section numbers vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course.,CAB,Independent Reading and Research Section numbers vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course. Africana Studies
AFRI2001,Theories of Africana Thought: Intellectual History and Critical Theory,N. Rooks,M 3-5:30p,,Africana Studies,"This course will be a close reading of the various ideas, theories and practices of the thinkers, writers, artists and activitists whose work and practices have constituted an Africana intellectual tradition. In conducting this review we will examine questions around the formation and the history of thought and intellectual traditions in general. We will also think about the various fields of knowldege which have shaped Africana thought. The course therefore will spend some time working through the different meanings of intellectual work and critical thought and theory. Enrollment limited to 12 graduate students.",CAB,"Theories of Africana Thought: Intellectual History and Critical Theory This course will be a close reading of the various ideas, theories and practices of the thinkers, writers, artists and activitists whose work and practices have constituted an Africana intellectual tradition. In conducting this review we will examine questions around the formation and the history of thought and intellectual traditions in general. We will also think about the various fields of knowldege which have shaped Africana thought. The course therefore will spend some time working through the different meanings of intellectual work and critical thought and theory. Enrollment limited to 12 graduate students. Africana Studies"
AFRI2015,Revolt and Revolution in the Black World,B. Meeks,W 3-5:30p,,Africana Studies,"From 18th Century slave revolts to the iconic Haitian Revolution, the Grenadian Revolution of 1979 and the 2019 popular uprisings in the Sudan, revolts and revolutions have undoubtedly occupied a hallowed place in the political imaginaries of the Black World. Reading narratives from a select group of instances, we will explore, against the broader theoretical work on global revolutions, the more specific meaning of revolution in Africana history and literature. The overriding question is, in the face of disappointing outcomes, tragedy and collapse, can the history of Black revolt and revolution still provide a framework for thinking about radical change in the 21st Century, or should we move beyond it?",CAB,"Revolt and Revolution in the Black World From 18th Century slave revolts to the iconic Haitian Revolution, the Grenadian Revolution of 1979 and the 2019 popular uprisings in the Sudan, revolts and revolutions have undoubtedly occupied a hallowed place in the political imaginaries of the Black World. Reading narratives from a select group of instances, we will explore, against the broader theoretical work on global revolutions, the more specific meaning of revolution in Africana history and literature. The overriding question is, in the face of disappointing outcomes, tragedy and collapse, can the history of Black revolt and revolution still provide a framework for thinking about radical change in the 21st Century, or should we move beyond it? Africana Studies"
AFRI2030,Sylvia Wynter and the Genres of the Human,B. Bogues,T 12-2:20p,,Africana Studies,"Sylvia Wynter is considered to be one of the world’s leading critical theorist . Wynter is a theorist of the black human experience , her plays, cinematic and theatre work ; to her numerous essays on history and culture, her novel Hills of Hebron , to her activities with the Institute of the Black World in the 1970 ’s and then to her contemporary writings which seeks to rewrite the history of the human particularly since the 15th century Columbian encounter, make this clear . This class will review her work in theatre and cinema , her writings in Jamaica Journal as well as some of her unpublished manuscripts and other well known works. It will pay attention to the intellectual , social and political influences on Wynter while posing the question about her as a radical black critical theorist .",CAB,"Sylvia Wynter and the Genres of the Human Sylvia Wynter is considered to be one of the world’s leading critical theorist . Wynter is a theorist of the black human experience , her plays, cinematic and theatre work ; to her numerous essays on history and culture, her novel Hills of Hebron , to her activities with the Institute of the Black World in the 1970 ’s and then to her contemporary writings which seeks to rewrite the history of the human particularly since the 15th century Columbian encounter, make this clear . This class will review her work in theatre and cinema , her writings in Jamaica Journal as well as some of her unpublished manuscripts and other well known works. It will pay attention to the intellectual , social and political influences on Wynter while posing the question about her as a radical black critical theorist . Africana Studies"
AFRI2105,Professionalization Seminar,D. Wallace,W 3-5:30p,,Africana Studies,"This course explores the mechanics of a doctorate degree in Africana Studies. We will explore the constitution of our field through the elaboration of exam lists and narratives, query its pedagogical application in the design of undergraduate syllabi, and begin to outline and enact our participation in the profession both within and beyond the academy. At the end of this class, students will have constructed a portfolio that will assist their progress towards a degree and provide the tools with which to chart pathways once a degree is in hand. A key component of the professionalization courses is the construction of an undergraduate syllabus by each student, which will subsequently be revised and discussed during the dissertation proposal defense, and which will be taught in either the first semester of the student’s fourth or fifth year.",CAB,"Professionalization Seminar This course explores the mechanics of a doctorate degree in Africana Studies. We will explore the constitution of our field through the elaboration of exam lists and narratives, query its pedagogical application in the design of undergraduate syllabi, and begin to outline and enact our participation in the profession both within and beyond the academy. At the end of this class, students will have constructed a portfolio that will assist their progress towards a degree and provide the tools with which to chart pathways once a degree is in hand. A key component of the professionalization courses is the construction of an undergraduate syllabus by each student, which will subsequently be revised and discussed during the dissertation proposal defense, and which will be taught in either the first semester of the student’s fourth or fifth year. Africana Studies"
AFRI2106,Race and Migration in the diaspora: Latin America and the Caribbean,P. Lewis,Th 4-6:30p,,Africana Studies,"This seminar focuses on a critical and often neglected dimension of the Black experience in Latin American and the Caribbean. It introduces students to a particular aspect of the field of Africana studies, that takes account of the particular historical experiences and critical theoretical perspectives that shape the social construction and functioning of race in the region. It introduces students to some of the key thinkers around race in Latin America, the Caribbean and the US, to better understand how ideas of race cross boundaries and intersect to generate specific racial hierarchies. It pays particular attention to how ideas around race respond to broader global forces. It uses migration within Latin America and the Caribbean as a concrete instance for exploring historic and contemporary manifestation of anti-Black racism, and as sites for community building and resistance.",CAB,"Race and Migration in the diaspora: Latin America and the Caribbean This seminar focuses on a critical and often neglected dimension of the Black experience in Latin American and the Caribbean. It introduces students to a particular aspect of the field of Africana studies, that takes account of the particular historical experiences and critical theoretical perspectives that shape the social construction and functioning of race in the region. It introduces students to some of the key thinkers around race in Latin America, the Caribbean and the US, to better understand how ideas of race cross boundaries and intersect to generate specific racial hierarchies. It pays particular attention to how ideas around race respond to broader global forces. It uses migration within Latin America and the Caribbean as a concrete instance for exploring historic and contemporary manifestation of anti-Black racism, and as sites for community building and resistance. Africana Studies"
AFRI2970,Preliminary Examination Preparation,TBD,TBA,,Africana Studies,For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination.,CAB,Preliminary Examination Preparation For graduate students who have met the tuition requirement and are paying the registration fee to continue active enrollment while preparing for a preliminary examination. Africana Studies
AFRI2980,Graduate Level Independent Reading and Research,B. Bogues,TBA,,Africana Studies,A program of intensive reading and research. Section numbers may vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course.,CAB,Graduate Level Independent Reading and Research A program of intensive reading and research. Section numbers may vary by instructor. Please check Banner for the correct section number and CRN to use when registering for this course. Africana Studies
AFRI2990,Thesis Preparation,TBD,TBA,,Africana Studies,For graduate students who have met the residency requirement and are continuing research on a full time basis.,CAB,Thesis Preparation For graduate students who have met the residency requirement and are continuing research on a full time basis. Africana Studies
AMST0150T,Latina Popular Culture,F. Salinas-Moniz,F 3-5:30p,,American Studies,"This first-year seminar explores Latina representation in U.S. popular culture from the 1940s to the present. We will be analyzing different “texts” ranging from film, television, music, print, and digital media in our discussions of Latina subjectivity. We will consider how media form and genre shapes the production and consumption of Latina identities. Additionally, we will focus on how issues of race, ethnicity, class, gender, sexuality, and age shape our understanding of Latina representation across time and place. How have Latinas been portrayed within mainstream popular culture? How do audiences and consumers receive/reinterpret prevailing themes and tropes? How have Latina creatives reimagined and reclaimed dominant imagery? This class is a writing-designated (WRIT) course and has no prerequisites.",CAB,"Latina Popular Culture This first-year seminar explores Latina representation in U.S. popular culture from the 1940s to the present. We will be analyzing different “texts” ranging from film, television, music, print, and digital media in our discussions of Latina subjectivity. We will consider how media form and genre shapes the production and consumption of Latina identities. Additionally, we will focus on how issues of race, ethnicity, class, gender, sexuality, and age shape our understanding of Latina representation across time and place. How have Latinas been portrayed within mainstream popular culture? How do audiences and consumers receive/reinterpret prevailing themes and tropes? How have Latina creatives reimagined and reclaimed dominant imagery? This class is a writing-designated (WRIT) course and has no prerequisites. American Studies"
AMST0192T,Trans*formative Ecologies,I. Essex,TTh 6:40-8p,,American Studies,"What might be opened, invited, and made possible by thinking trans and ecological together? Trans*formative Ecologies understands trans and environmental study as co-articulable collaborators speaking to and working with each other as endeavors that unstick the fixities that organize our sociopolitical landscape, interrogate systems of power, and daringly imagine otherwise with an openness to change amid a climate of multiple urgencies. This seminar introduces students to conversations in trans studies and decolonial environmental humanities through key texts in both fields, with consideration to subaltern theories and methodologies, cultural geography, literary studies, creative practice, and visual &amp; aesthetic culture. These approaches contribute to and diverge from canonical feminist and queer theory, and renegotiate the anthropocentric, Western framework that often dominates dialogue pertaining to environmental study. Brought together, these fields collectively scrutinize dominant modes of thinking, conventional approaches, and methods of inquiry.",CAB,"Trans*formative Ecologies What might be opened, invited, and made possible by thinking trans and ecological together? Trans*formative Ecologies understands trans and environmental study as co-articulable collaborators speaking to and working with each other as endeavors that unstick the fixities that organize our sociopolitical landscape, interrogate systems of power, and daringly imagine otherwise with an openness to change amid a climate of multiple urgencies. This seminar introduces students to conversations in trans studies and decolonial environmental humanities through key texts in both fields, with consideration to subaltern theories and methodologies, cultural geography, literary studies, creative practice, and visual &amp; aesthetic culture. These approaches contribute to and diverge from canonical feminist and queer theory, and renegotiate the anthropocentric, Western framework that often dominates dialogue pertaining to environmental study. Brought together, these fields collectively scrutinize dominant modes of thinking, conventional approaches, and methods of inquiry. American Studies"
AMST0192U,What’s Queer about Queer Media Now?,K. Marks,TTh 9-10:20a,,American Studies,"What makes media queer? Who does it represent? What does it do? The 21st century has seen a proliferation of LGBTQ+ representation in media through an apparently progressive political moment – from the repeal of Don’t Ask, Don’t Tell to federal legalization of same-sex marriage in the United States. However, these new media have also come up among increased censorship, book bans, and homo- and transphobic violence, in a reflection of the not-so-linear story of queer representation. By examining memoir, film, television, and internet cultures, we will explore these developments through a framework of queer that goes beyond sexual orientation, and consider the role of the non-normative under racial capitalism, heteropatriarchy, the carceral state, and United States empire across oceans.",CAB,"What’s Queer about Queer Media Now? What makes media queer? Who does it represent? What does it do? The 21st century has seen a proliferation of LGBTQ+ representation in media through an apparently progressive political moment – from the repeal of Don’t Ask, Don’t Tell to federal legalization of same-sex marriage in the United States. However, these new media have also come up among increased censorship, book bans, and homo- and transphobic violence, in a reflection of the not-so-linear story of queer representation. By examining memoir, film, television, and internet cultures, we will explore these developments through a framework of queer that goes beyond sexual orientation, and consider the role of the non-normative under racial capitalism, heteropatriarchy, the carceral state, and United States empire across oceans. American Studies"
AMST0192V,The Art and Politics of Psychedelia,L. Dean-Johnson,TTh 2:30-3:50p,,American Studies,"This interdisciplinary, discussion-based seminar will introduce students to key concepts in cultural studies and critical theory by engaging the history, politics, and art of psychedelic drugs. We will trace the history of psychedelics and their aesthetic cultures from the mid-twentieth century to the present “psychedelic renaissance,” taking up psychedelia as a cultural and aesthetic formation popularized in the 1960s that has since traveled and evolved. We will critically analyze the theoretical frames through which psychedelic drugs have been imagined and discussed in science, politics, media, and popular culture. We will think through questions of freedom, bodily autonomy, consciousness, hedonism, political radicalism, capitalism, and labor. Throughout, we will consider how artists and writers have represented the supposed ineffability of ecstatic or transcendent experiences in art, performance, literature, and media.",CAB,"The Art and Politics of Psychedelia This interdisciplinary, discussion-based seminar will introduce students to key concepts in cultural studies and critical theory by engaging the history, politics, and art of psychedelic drugs. We will trace the history of psychedelics and their aesthetic cultures from the mid-twentieth century to the present “psychedelic renaissance,” taking up psychedelia as a cultural and aesthetic formation popularized in the 1960s that has since traveled and evolved. We will critically analyze the theoretical frames through which psychedelic drugs have been imagined and discussed in science, politics, media, and popular culture. We will think through questions of freedom, bodily autonomy, consciousness, hedonism, political radicalism, capitalism, and labor. Throughout, we will consider how artists and writers have represented the supposed ineffability of ecstatic or transcendent experiences in art, performance, literature, and media. American Studies"
AMST0601H,Sounding Out America,K. Miller,MWF 10-10:50a,,American Studies,"What can popular music tell us about American history, politics, and expressive culture? How have folk/traditional genres passed on within particular communities come to shape ideas about race, ethnicity, and heritage in the U.S.? This course investigates how performers, audiences, marketers, and scholars have used music to “sound out” various cultural identities, community affiliations, and political commitments. Topics range from folk ballads and early blues to Chicago house music, Native hip-hop, Asian American taiko, and popular music icons like Little Richard and Selena. This discussion-based course is part of the American Studies “Questions” series, fulfilling an introductory-level requirement for the AMST concentration. There are no prerequisites, and no formal background in music is required.",CAB,"Sounding Out America What can popular music tell us about American history, politics, and expressive culture? How have folk/traditional genres passed on within particular communities come to shape ideas about race, ethnicity, and heritage in the U.S.? This course investigates how performers, audiences, marketers, and scholars have used music to “sound out” various cultural identities, community affiliations, and political commitments. Topics range from folk ballads and early blues to Chicago house music, Native hip-hop, Asian American taiko, and popular music icons like Little Richard and Selena. This discussion-based course is part of the American Studies “Questions” series, fulfilling an introductory-level requirement for the AMST concentration. There are no prerequisites, and no formal background in music is required. American Studies"
AMST1200P,Black Comics,K. Murphy,TTh 1-2:20p,,American Studies,"Moving between image and text, comics render visible how we read. As such, the comic genre is a quintessential form to not only critique power and difference but also encourage readers to reconsider their ethical and political commitments. In recent years, the comics form has been taken up as a critical medium to reconsider the visual representation of Black life. In this course, we will examine how contemporary Black comic creators use the sequential order of comics to unmoor expectations of how we read the intersections of race, gender, and sexuality. We will examine the works of comics theorists, writers, and illustrators including Deborah Elizabeth Whaley, Rebecca Wanzo, Qiana Whitted, Ta’Nehisi Coates, Rob Guillory, Eve L. Ewing, John Jennings, N.K. Jemisin, among many others.",CAB,"Black Comics Moving between image and text, comics render visible how we read. As such, the comic genre is a quintessential form to not only critique power and difference but also encourage readers to reconsider their ethical and political commitments. In recent years, the comics form has been taken up as a critical medium to reconsider the visual representation of Black life. In this course, we will examine how contemporary Black comic creators use the sequential order of comics to unmoor expectations of how we read the intersections of race, gender, and sexuality. We will examine the works of comics theorists, writers, and illustrators including Deborah Elizabeth Whaley, Rebecca Wanzo, Qiana Whitted, Ta’Nehisi Coates, Rob Guillory, Eve L. Ewing, John Jennings, N.K. Jemisin, among many others. American Studies"
AMST1631D,Let’s Get Physical: Histories and Theories of Fitness and Wellness (MCM 1205V),See details,,,American Studies,Interested students must register for MCM 1205V .,CAB,Let’s Get Physical: Histories and Theories of Fitness and Wellness (MCM 1205V) Interested students must register for MCM 1205V . American Studies
